ID,Country,City,Phase,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Source2,Reference
8145,CN,Beijing,Line 10,Line 10 South and West,2007,2012,0,32.46,100.00%,32.5,0,0,24,,Measured,,CNY,2007,0.3323,,,0,0,0,0,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8110%E5%8F%B7%E7%BA%BF#%E4%BA%8C%E6%9C%9F%E5%B7%A5%E7%A8%8B
8146,CN,Wenzhou,,S1 Phase 1,,,0,53.5,,,#N/A,#N/A,,,Media,"18,606.83",CNY,2014,0.2660,4949.94,92.5,0,0,0,0,Media,http://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/150120083915404.pdf
8147,CN,Wenzhou,,S2 Phase 1,,,0,70.299,,,#N/A,#N/A,,,Media,"26,200.00",CNY,2014,0.2660,6969.94,99.1,0,0,0,0,Media,http://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/150120083915404.pdf
8152,CN,Wenzhou,,M1,2020,,0,32.5,100.00%,32.5,0,0,23,,Plan,,CNY,2020,0.2382,,,0,0,0,0,Plan,http://www.wenzhou.gov.cn/art/2019/3/21/art_1219304_31430838.html
8153,CN,Wenzhou,,M2,2020,,0,27.9,100.00%,27.9,0,0,23,,Plan,,CNY,2020,0.2382,,,0,0,0,0,Plan,http://www.wenzhou.gov.cn/art/2019/3/21/art_1219304_31430838.html
8154,CN,Lanzhou,,Line 2 Phase 1,2015,2020,0,9.4,,,#N/A,#N/A,8,,Plan,"5,762.00",CNY,2012,0.2808,1618.08,172.1,0,0,0,0,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201209/t20120905_1145859.html
8155,CN,Lanzhou,,Line 1 Phase 1,2011,2016,0,26.6,,,#N/A,#N/A,20,,Plan,"17,160.00",CNY,2012,0.2808,4818.87,181.2,0,0,0,0,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201209/t20120905_1145859.html
8160,CN,Dongguan,Line 1,Line 1 Phase 1,2019,2024,0,57.5,86.00%,49.5,0,0,24,,Plan,"36,822",CNY,2019,0.2382,8771.32,152.5,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
8161,CN,Dongguan,Line 1,Line 1 Phase 2,2023,2028,0,10.9,34.86%,3.8,0,0,4,,Plan,"6,055",CNY,2019,0.2382,1442.35,132.3,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
8162,CN,Dongguan,Line 1,Line 1 Phase 3,2020,2025,0,3.54,100.00%,3.5,0,0,1,,Plan,"1,728",CNY,2019,0.2382,411.62,116.3,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
8163,CN,Dongguan,Line 1,Line 1 Feeder Phase 1,2022,2027,0,25.56,100.00%,25.6,0,0,10,,Plan,"17,499",CNY,2019,0.2382,4168.41,163.1,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
