,seats,ANO,SPO,P+S,SPD,KSC,SSD,PRI,TRI,ZEL,OTH
NAT,200,66,53,39,26,9,2,5,0,0,0
PRA,24,5,10,6,2,0,0,1,0,0,0
CBH,26,8,6,7,3,1,0,1,0,0,0
SBH,13,4,3,2,2,1,0,1,0,0,0
PLZ,11,4,3,2,1,1,0,0,0,0,0
KVA,5,2,1,1,1,0,0,0,0,0,0
UST,13,6,2,2,2,1,0,0,0,0,0
LIB,8,3,1,3,1,0,0,0,0,0,0
HRK,11,4,3,2,1,1,0,0,0,0,0
PAR,10,4,3,2,1,0,0,0,0,0,0
VYS,10,3,3,2,1,1,0,0,0,0,0
SMR,23,7,7,3,3,1,1,1,0,0,0
OLO,12,4,3,2,2,1,0,0,0,0,0
ZLI,12,4,4,2,2,0,0,0,0,0,0
M-S,22,8,4,3,4,1,1,1,0,0,0
